2/19/2018,R. v. A.G.W.,Wagner J. (Richard) ; Abella J. (Rosalie Silberman) ; Côté J. (Suzanne) ; Brown J. (Russell) ; Martin J. (Sheilah L.),53637803/20180220-130637-.htm
2/15/2018,Valard Construction Ltd. v. Bird Construction Co.,McLachlin J. (Beverley) ; Abella J. (Rosalie Silberman) ; Moldaver J. (Micheal J.) ; Karakatsanis J. (Andromache) ; Côté J. (Suzanne) ; Brown J. (Russell) ; Rowe J. (Malcom),53607003/20180216-073926-.htm
2/13/2018,R. v. A.R.J.D.,Wagner J. (Richard) ; Abella J. (Rosalie Silberman) ; Moldaver J. (Micheal J.) ; Karakatsanis J. (Andromache) ; Gascon J. (Clément) ; Côté J. (Suzanne) ; Brown J. (Russell),53606903/20180216-073926-.htm
2/9/2018,R. v. Canadian Broadcasting Corp.,McLachlin J. (Beverley) ; Abella J. (Rosalie Silberman) ; Moldaver J. (Micheal J.) ; Karakatsanis J. (Andromache) ; Wagner J. (Richard) ; Gascon J. (Clément) ; Côté J. (Suzanne) ; Brown J. (Russell) ; Rowe J. (Malcom),53502203/20180209-110945-.htm
2/2/2018,Williams Lake Indian Band v. Canada (Aboriginal Affairs and Northern Development),McLachlin J. (Beverley) ; Abella J. (Rosalie Silberman) ; Moldaver J. (Micheal J.) ; Karakatsanis J. (Andromache) ; Wagner J. (Richard) ; Gascon J. (Clément) ; Côté J. (Suzanne) ; Brown J. (Russell) ; Rowe J. (Malcom),53463303/20180202-143522-.htm
2/1/2018,"Quebec (Commission des normes, de l'équité, de la santé et de la sécurité du travail) v. Caron",McLachlin J. (Beverley) ; Abella J. (Rosalie Silberman) ; Karakatsanis J. (Andromache) ; Wagner J. (Richard) ; Gascon J. (Clément) ; Côté J. (Suzanne) ; Rowe J. (Malcom),53439903/20180201-133840-.htm
1/19/2018,Delta Air Lines Inc. v. Lukács,McLachlin J. (Beverley) ; Abella J. (Rosalie Silberman) ; Moldaver J. (Micheal J.) ; Karakatsanis J. (Andromache) ; Wagner J. (Richard) ; Gascon J. (Clément) ; Côté J. (Suzanne) ; Brown J. (Russell) ; Rowe J. (Malcom),53303703/20180119-161639-.htm
1/18/2018,R. v. Seipp,Wagner J. (Richard) ; Abella J. (Rosalie Silberman) ; Moldaver J. (Micheal J.) ; Karakatsanis J. (Andromache) ; Gascon J. (Clément) ; Côté J. (Suzanne) ; Brown J. (Russell) ; Rowe J. (Malcom) ; Martin J. (Sheilah L.),53313603/20180122-090338-.htm
12/21/2017,R. v. Boutilier,McLachlin J. (Beverley) ; Abella J. (Rosalie Silberman) ; Moldaver J. (Micheal J.) ; Karakatsanis J. (Andromache) ; Wagner J. (Richard) ; Gascon J. (Clément) ; Côté J. (Suzanne) ; Brown J. (Russell) ; Rowe J. (Malcom),53181103/20171221-152039-.htm
12/20/2017,Deloitte & Touche v. Livent Inc. (Receiver of),McLachlin J. (Beverley) ; Karakatsanis J. (Andromache) ; Wagner J. (Richard) ; Gascon J. (Clément) ; Côté J. (Suzanne) ; Brown J. (Russell) ; Rowe J. (Malcom),53175603/20171221-094133-.htm
12/15/2017,British Columbia Human Rights Tribunal v. Schrenk,McLachlin J. (Beverley) ; Abella J. (Rosalie Silberman) ; Moldaver J. (Micheal J.) ; Karakatsanis J. (Andromache) ; Wagner J. (Richard) ; Gascon J. (Clément) ; Côté J. (Suzanne) ; Brown J. (Russell) ; Rowe J. (Malcom),53175503/20171220-090721-.htm
12/14/2017,Cowper-Smith v. Morgan,McLachlin J. (Beverley) ; Abella J. (Rosalie Silberman) ; Moldaver J. (Micheal J.) ; Karakatsanis J. (Andromache) ; Wagner J. (Richard) ; Gascon J. (Clément) ; Côté J. (Suzanne) ; Brown J. (Russell) ; Rowe J. (Malcom),53131103/20171214-133022-.htm
12/8/2017,R. v. Jones,McLachlin J. (Beverley) ; Abella J. (Rosalie Silberman) ; Moldaver J. (Micheal J.) ; Karakatsanis J. (Andromache) ; Gascon J. (Clément) ; Côté J. (Suzanne) ; Rowe J. (Malcom),53095103/20171208-103803-.htm
12/8/2017,R. v. Marakah,McLachlin J. (Beverley) ; Abella J. (Rosalie Silberman) ; Moldaver J. (Micheal J.) ; Karakatsanis J. (Andromache) ; Gascon J. (Clément) ; Côté J. (Suzanne) ; Rowe J. (Malcom),53095203/20171208-103803-.htm
12/1/2017,First Nation of Nacho Nyak Dun v. Yukon,McLachlin J. (Beverley) ; Moldaver J. (Micheal J.) ; Karakatsanis J. (Andromache) ; Wagner J. (Richard) ; Gascon J. (Clément) ; Côté J. (Suzanne) ; Brown J. (Russell) ; Rowe J. (Malcom) ; Abella J. (Rosalie Silberman),53044503/20171201-143732-.htm
11/30/2017,R. v. Magoon,McLachlin J. (Beverley) ; Abella J. (Rosalie Silberman) ; Karakatsanis J. (Andromache) ; Moldaver J. (Micheal J.) ; Wagner J. (Richard) ; Gascon J. (Clément) ; Côté J. (Suzanne) ; Brown J. (Russell) ; Rowe J. (Malcom),53045003/20171201-153603-.htm
11/30/2017,R. v. Jordan,McLachlin J. (Beverley) ; Abella J. (Rosalie Silberman) ; Moldaver J. (Micheal J.) ; Karakatsanis J. (Andromache) ; Wagner J. (Richard) ; Gascon J. (Clément) ; Côté J. (Suzanne) ; Brown J. (Russell) ; Rowe J. (Malcom),53045103/20171201-153603-.htm
11/23/2017,R. v. Sciascia,Abella J. (Rosalie Silberman) ; Moldaver J. (Micheal J.) ; Karakatsanis J. (Andromache) ; Wagner J. (Richard) ; Gascon J. (Clément) ; Côté J. (Suzanne) ; Rowe J. (Malcom),52994203/20171124-111105-.htm
